author,content,title
Mario Benedetti,"Uno llegar e incorporarse el día
Dos respirar para subir la cuesta
Tres no jugarse en una sola apuesta

Cuatro escapar de la melancolía
Cinco aprender la nueva geografía
Seis no quedarse nunca sin la siesta

Siete el futuro no será una fiesta
Y ocho no amilanarse todavía
Nueve vaya a saber quién es el fuerte

Diez no dejar que la paciencia ceda
Once cuidarse de la buena suerte
Doce guardar la última moneda


Trece no tutearse con la muerte
Catorce disfrutar mientras se pueda.",Memorándum
Pablo Neruda,"Cien sonetos de amor

Acostúmbrate a ver detrás de mí la sombra 
y que tus manos salgan del rencor, transparentes, 
como si en la mañana del mar fueran creadas: 
la sal te dio, amor mío, proporción cristalina. 
La envidia sufre, muere, se agota con mi canto. 
Uno a uno agonizan sus tristes capitanes. 
Yo digo amor, y el mundo se puebla de palomas. 
Cada sílaba mía trae la primavera. 
Entonces tú, florida, corazón, bienamada, 
sobre mis ojos como los follajes del cielo 
eres, y yo te miro recostada en la tierra. 
Veo el sol trasmigrar racimos a tu rostro, 
mirando hacia la altura reconozco tus pasos. 
Matilde, bienamada, diadema, bienvenida!",Cien sonetos de amor
Pablo Neruda,"DEJO a los sindicatos
del cobre, del carbón y del salitre
mi casa junto al mar de Isla Negra.
Quiero que allí reposen los maltratados hijos
de mi patria, saqueada por hachas y traidores,
desbaratada en su sagrada sangre,
consumida en volcánicos harapos.

Quiero que al limpio amor que recorriera
mi dominio, descansen los cansados,
se sienten a mi mesa los oscuros,
duerman sobre mi cama los heridos.

Hermano, ésta es mi casa, entra en el mundo
de flor marina y piedra constelada
que levanté luchando en mi pobreza.
Aquí nació el sonido en mi ventana
como en una creciente caracola
y luego estableció sus latitudes
en mi desordenada geología.

    Tu vienes de abrasados corredores,
    de túneles mordidos por el odio,
    por el salto sulfúrico del viento:
    aquí tienes la paz que te destino,
    agua y espacio de mi oceanía.",Testamento (I)
Antonio Machado,"
¡Ay del que llega sediento 
a ver el agua correr, 
y dice: la sed que siento 
no me la calma el beber! 
¡Ay de quien bebe y, saciada 
la sed, desprecia la vida: 
moneda al tahúr prestada, 
que sea al azar rendida! 
Del iluso que suspira 
bajo el orden soberano, 
y del que sueña la lira 
pitagórica en su mano. 
¡Ay del noble peregrino 
que se para a meditar, 
después de largo camino 
en el horror de llegar! 
¡Ay de la melancolía 
que llorando se consuela, 
y de la melomanía 
de un corazón de zarzuela! 
¡Ay de nuestro ruiseñor, 
si en una noche serena 
se cura del mal de amor 
que llora y canta sin pena! 
¡De los jardines secretos, 
de los pensiles soñados, 
y de los sueños poblados 
de propósitos discretos! 
¡Ay del galán sin fortuna 
que ronda a la luna bella; 
de cuantos caen de la luna, 
de cuantos se marchan a ella! 
¡De quien el fruto prendido 
en la rama no alcanzó, 
de quien el fruto ha mordido 
y el gusto amargo probó! 
¡Y de nuestro amor primero 
y de su fe mal pagada, 
y, también, del verdadero 
amante de nuestra amada!",Coplas elegíacas
Pablo de Rokha,"

Ya por añejos vinos,
corre sangre, corren caballos negros, corren sollozos, corre muerte,
y el sol relumbra en materias extrañas.
Sobre el fluir fluyente, abandonado, entre banderas fuertes,
sujeto tu ilusión, como un pájaro rojo,
a la orilla de los dramáticos océanos de números;
y, cuando las viejas águilas,
atardecen tus pupilas de otoño, llenas de pasado guerrero,
y el escorpión del suceder nos troncha la espada,
mi furiosa pasión,
mi soberbia,
mi quemada pasión,
contra ""la muerte inmortal"", levantándose, frente a frente,
enarbola sus ámbitos,
la marcha contra la nada, a la vanguardia de aquellos ejércitos tremendos,
en donde relucen las calaveras de los héroes.
Si, el incendio en las últimas cumbres;
guarda las lágrimas en su tinaja el vendimiador de dolores,
y sopla un hálito como trágico,
de tal manera ardido y helado, simultáneamente;
suena el miedo, de ser, entonces.
Encaramados a todos los símbolos,
feas bestias, negras bestias nos arrojan fruta podrida, cocos de tontos y obscuras imágenes hediondas,
y los degeneras de verula,
vestidos de perras,
largan amarga baba de lacayos sobre nosotros;
es, amiga, la familia del mundo,
no, es la flor del estiércol, es la flor, es la flor morada y rabiosa de la burguesía;
pero a la medida que nos empequeñecemos de años y de llantos, para bajar hacia la montaña de abajo,
y la figura de la verdad nos marca la cara,
avanzan hijos e hijas, retozando la historia, derrochando, derramando
grandes copas dulces, y el vino y la miel rosada de la juventud, se les caen
como la risa a la Rusia soviética;
tú y yo nos miramos y envejecemos, porque nos miramos,
y porque el arte patina las cosas,
levantando su ataúd entre individuo e infinito.
Ahora, si nosotros nos derrumbamos,
con todo aquello que nos amamos y nos besamos, mutuamente, cargados de vida,
y en lo cual radicó el honor de la existencia,
va a ser ceniza la figura del sexo y de la lengua y del pecho y del corazón, que ya alumbra,
y en los pies estará todo el peso del mundo,
y ya nos vamos llegando, aproximando a la órbita, llenando de dispersión, colmando sombra,
y tu belleza batalla contra tu belleza...
Emigran las golondrinas desde tu pelo de pueblos;
el tiempo de las cosechas del trigo y el vino
flamea en tu corazón cubierto de huevos de tiempo y manzanas,
Emigran las golondrinas desde tu pelo de pueblos;
el tiempo de las cosechas del trigo y el vino
flamea en tu corazón cubierto de huevos de tiempo y manzanas,
es decir, como tarde, cuando la tarde arrea sus rebaños;
nosotros dos, nosotros, cómo nos morimos, y cómo,
en ti la niña marchita, tan linda,
entristece de dignidad feliz a la mujer hermosa y profunda, como un carro de fuego,
en mí, el adolescente agresivo y estusiasta,
yace en este animal desesperado, con pecho tremendo, que agita la dialéctica;
país de soledad, adentro del cual golpea y revienta el océano,
y es una enorme isla, tan pequeña, que da espanto, y gira rugiendo,
porque dos criaturas están abrazadas;
huele a agua mojada, a paloma amarilla, a novela, a laguna, a vasija de otoño,
y un horizonte de suspiros y sollozos
suspende una gran tormenta sobre las nuestras cabezas;
el pájaro pálido de las hojas cedas
aletea a la ribera de los recuerdos, entre los braseros arrodillados,
y retornan las viejas lámparas del pretérito,
la angustia resplandece, como una virtud, en nosotros,
y el terror de los proletarios abandonados
nos raja el pecho, desde adentro como con fuego tremendo.
Imponente como la popa de un gran barco,
amarillo y espantoso de presencia,
el sol inicia la caída definitiva, tranco a tranco, como el buey de la tarde eterna;
besos de piedra,
todas las máscaras de dios se despluman,
y caen destrozados los penachos;
un ataúd de fuego grita desde el oriente.",ESTILO DEL FANTASMA
Mario Benedetti,"     Cuando el bueno de armstrong dio aquellos pasos
     todos registramos cómo se movía
     tosco / pesado / en un suelo blancuzco
     ¿o era de piedra pómez? ¿quién se acuerda?

     durante un rato estuvo cavilando
     y la escafandra o como se llamase
     impedía que viéramos sus ojos
     pero juraría que su mirada era
     de pereza o abulia

     algo debió explicar a su regreso
     algo diferente al discurso de gloria
     que le ordenaron pronunciar eufórico
     entre medallas flores vítores y guirnaldas

     algo debió decir en privado a sus jefes
     algo importante inesperado

     verbigracia / cuando estaba allá arriba
     caminando como un zoombie en la luna
     mi general mi coronel pensé en ustedes
     y se me ocurrió no sé por qué
     que debía matarlos con urgencia
     uno a uno / dos a dos / etcétera

     o verbigracia dos / cuando andaba allá / heroico
     pisando las feísimas arrugas del satélite
     imaginé que así debía ser la muerte
     es decir el paisaje de la muerte

     o verbigracia tres / cuando estaba en selene
     paseando por la nada como un imbécil
     setí el asco infinito de la ausencia del hombre
     y me dije qué mierda estoy haciendo aquí

     algo así debe haber confesado a sus jefes
     con su estrenada voz de robot disidente
     y quizá por eso los dueños del poder
     postergaron sine die los viajes a la luna.",¿Por qué no hay más viajes a la luna?
Luis de Góngora,"

Gracias os quiero dar sin cumplimiento,
Dulce fray Diego, por la dulce caja;
Tal sea el ataúd de mi mortaja,
Y de mis guerras tal el instrumento.

Consagrad, Musas, hoy vuestro talento
A la monja que almíbar tal le baja,
Pues quien acabar suele en una paja
Sella ahora el estómago contento.

Cualquier regalo de durazno o pera
Acoto suyo, si podrá un amigo
Escotar un discípulo de Scoto.

Confieso que de sangre entendí que era
Cámara aquella, y si lo fue, yo digo
Que servidor seáis, y no devoto.",A UN FRAILE FRANCISCANO
Roque Dalton,"

Junto al dolor del mundo mi pequeño dolor,
junto a mi arresto colegial la verdadera cárcel de los hombres sin voz,
junto a mi sal de lágrimas
la costra secular que sepultó montañas y oropéndolas,
junto a mi mano desarmada el fuego,
junto al fuego el huracán y los fríos derrumbes,
junto a mi sed los niños ahogados
danzando interminablemente sin noches ni estaturas,
junto a mi corazón los duros horizontes
y las flores,
junto a mi miedo el miedo que vencieron los muertos,
junto a mi soledad la vida que recorro,
junto a la diseminada desesperación que me ofrecen,
los ojos de los que amo
diciendo que me aman.",AYER
Tomás de Iriarte,"

El té, viniendo del imperio chino,
se encontró con la salvia en el camino.
Ella le dijo: «Adónde vas, compadre?»
«A Europa voy, comadre,
donde sé que me compran a buen precio.»
«Yo», respondió la salvia, «voy a China,
que allá con sumo aprecio
me reciben por gusto y medicina.
En Europa me tratan de salvaje,
y jamás he podido hacer fortuna.
Anda con Dios. No perderás el viaje,
pues no hay nación alguna
que a todo lo extranjero
no dé con gusto aplausos y dinero».
La salvia me perdone,
que al comercio su máxima se opone.
Si hablase del comercio literario,
yo no defendería lo contrario,
porque en él para algunos es un vicio
lo que es en general un beneficio;
y español que tal vez recitaría
quinientos versos de Boileau y el Tasso,
puede ser que no sepa todavía
en qué lenguas los hizo Garcilaso.",EL TÉ Y LA SALVIA
Jorge Teillier,"

Las campanadas escapan del pecho del reloj de péndulo.
Huyen del pozo
y resuenan en la memoria.
La memoria,
esa lechuza ciega huyendo a refugiarse en un árbol hueco.",CRÓNICA DEL FORASTERO (VI)
César Vallejo,"
Hay golpes en la vida, tan fuertes... ¡Yo no sé! 
Golpes como del odio de Dios; como si ante ellos, 
la resaca de todo lo sufrido 
se empozara en el alma... ¡Yo no sé! 
Son pocos; pero son... Abren zanjas oscuras 
en el rostro más fiero y en el lomo más fuerte. 
Serán tal vez los potros de bárbaros Atilas; 
o los heraldos negros que nos manda la Muerte. 
Son las caídas hondas de los Cristos del alma 
de alguna fe adorable que el Destino blasfema. 
Esos golpes sangrientos son las crepitaciones 
de algún pan que en la puerta del horno se nos quema. 
Y el hombre... Pobre... ¡pobre! Vuelve los ojos, como 
cuando por sobre el hombro nos llama una palmada; 
vuelve los ojos locos, y todo lo vivido 
se empoza, como charco de culpa, en la mirada. 
Hay golpes en la vida, tan fuertes... ¡Yo no sé!",Los heraldos negros
Genaro Ortega Gutiérrez,"Poco a poco
has tenido que ceder a la tentación de los recuerdos,
a la tenue posibilidad de huir y revelarte
con alguna garantía de éxito.
Éxito
para sacudir el árbol veneciano
de la pasión que engendra la armonía,
la combinación nómada de las rosas,
la cristalización de una época;
en cierto modo,
un baile de palabras,
un juego de labios,
prácticamente nada.
Una suave y familiar hojarasca.
Un esfuerzo admirable y patético
que se resuelve en polvo.
Tú quisieras añadir a su argumento
unas gotas de láudano esportillado
y mantener siempre la misma posición
labrada en largas noches
de insomnio y cine.
(Al fin y al cabo,
los períodos azules
afloran mejor en septiembre).",Tirón de orejas
Gabriela Mistral,"
Los astros son ronda de niños, 
jugando la tierra a espiar... 
Los trigos son talles de niñas 
jugando a ondular..., a ondular... 
Los ríos son rondas de niños 
jugando a encontrarse en el mar... 
Las olas son rondas de niñas, 
jugando la Tierra a abrazar...",Todo es ronda
Genaro Ortega Gutiérrez,"Obligados a abandonar
muchos sueños ya rotos para siempre,
con rotunda claridad,
velan los ojos.
Prácticamente
sólo se ha quedado la playa con un catálogo
de aves y castillos,
por el que la lluvia estaría
encantada de ofrecer una considerable recompensa.
Por lo más hondo de su descampado tímido,
de condición angelical,
extiende su cortina el sol,
que por momentos dobla meticulosa y efímera
eternidad.",Vida íntima de la pleura
José Antonio Labordeta,"Te he visto envejecer entre mis manos,
mis caricias tus manos me abrazaban
un día y otro día- sin poder detenerte,
detenernos.

                           Tus ojos querían para mí
las cosas dulces, suaves,
aunque tú ya sabías lo violenta,
dura y desolada,
que está la vida. Y una vez,
y otra vez, me hablabas del camino.

                               Y ya hoy
-Ana y Ángela, mis hijas,
te recuerdan- te veo como nunca lo hice:

Agobiada por años y más años,
por palabras y ausencias,
por dolores.

                           Quisiera para ti
toda la paz del mundo. Toda la paz
que no pudimos darte.",Te he visto envejecer
Jordi Doce,"Cuelgan las nubes sobre el día
como una sucia piel curtida
o la panza de un animal
dispuesto para turbios sacrificios
ante los filos de la luz y el frío.
Aún tiemblan los vidrios
con el impacto del pedrisco
y en la aspereza del asfalto
palpita y se deshace
la mínima blancura de los hielos,
como siembra a destiempo
que ni el cuervo siquiera
codiciará.
                        Pasajera furia
que sobrecoge, súbita, deslizas
en el oído un fondo percusor
sobre el que vuelve a florecer la vida,
feraz como el vapor de los jardines,
mientras arriba
las inquietas puntadas de la luz
abren en la grisalla
la imagen espectral
de un asombro para dubitativos.",Después de la tormenta
Porfirio Barba Jacob,"

Un monte azul, un pájaro viajero,
un roble, una llanura,
un niño, una canción... Y, sin embargo,
nada sabemos hoy, hermano mío.

Bórranse los senderos en la sombra;
el corazón del monte está cerrado;
el perro del pastor trágicamente
aúlla entre las hierbas del vallado.

Apoya tu fatiga en mi fatiga,
que yo mi pena apoyaré en tu pena,
y llora, como yo, por el influjo
de la tarde traslúcida y serena.

Nunca sabremos nada...

¿Quién puso en nuestro espíritu anhelante,
vago rumor de mares en zozobra,
emoción desatada,
quimeras vanas, ilusión sin obra?
Hermano mío, en la inquietud constante,
nunca sabremos nada...

¿En qué grutas de islas misteriosas
arrullaron los Números tu sueño?
¿Quién me da los carbones irreales
de mi ardiente pasión, y la resina
que efunde en mis poemas su fragancia?

¿Qué voz suave, que ansiedad divina
tiene en nuestra ansiedad su resonancia?

Todo inquirir fracasa en el vacío,
cual fracasan los bólidos nocturnos
en el fondo del mar; toda pregunta
vuelve a nosotros trémula y fallida,
como del choque en el cantil fragoso
la flecha por el arco despedida.

Hermano mío, en el impulso errante,
nunca sabremos nada...

Y sin embargo...
¿Qué mística influencia
vierte en nuestros dolores un bálsamo radiante?
¿Quién prende a nuestros hombros
manto real de púrpuras gloriosas,
y quién a nuestras llagas
viene y las unge y las convierte en rosas?
Tú, que sobre las hierbas reposabas
de cara al cielo, dices de repente:
«La estrella de la tarde está encendida».
Ávidos buscan su fulgor mis ojos
a través de la bruma, y ascendemos
por el hilo de luz...

Un grillo canta
en los repuestos musgos del cercado,
y un incendio de estrellas se levanta
en tu pecho, tranquilo ante la tarde,
y en mi pecho en la tarde sosegado...",LA ESTRELLA DE LA TARDE
Francisco Álvarez,"

Desnúdenme tus manos lentamente
sobrenadando senos y caderas,
y desliza tus dedos diligente
entre botones, lazos, cremalleras.

Mira mis ojos y ábreme la blusa,
y descuelga los pechos prisioneros,
que mi deseo nada te rehusa,
y ellos son del deseo mensajeros.

Se abren a ti como dos rosas tiernas,
esperando la lengua en los pezones,
y percibo temblores en mis piernas,
y un aire abrasador en los pulmones.

No hay en mi ofrecimiento ambigüedades,
va a ti sin desvergüenza o timidez,
y aunque con tinte de frivolidades,
parece siempre la primera vez.

Besa con humedad mi boca hambrienta,
y haz que ambas lenguas jueguen en contacto,
no ha de haber nada a lo que no consienta ,
mía es la voluntad, tuyo es el acto.

En la espalda hay insólitos caminos
que mi mano jamás ha transitado,
y de tus dedos brotan remolinos
erizando la piel de mi costado.

En breve y delicada sacudida
mis hombros de la blusa se desprenden;
semidesnuda estoy, y enardecida,
y alzo los brazos, que hacia ti se extienden.

Detente brevemente en la cintura,
rodéame en caricias circulares,
y explora el resto de mi arquitectura,
con paso franco a todos mis lugares.

Cae la falda a los pies..., al fin desnuda...
Qué libertad e independencia siento.
No queda en mí vacilación ni duda,
sólo serenidad..., y atrevimiento.

Están mis ojos en tus ojos fijos,
y tus manos me arropan insistentes;
suaves contactos causan regocijos,
lentas fricciones llegan más frecuentes.

Aproxímate más, cúbreme entera,
encadéname a ti, y abre mi rosa,
dame un beso total, de tal manera
que resulte en fusión voluptuosa.

Quédate en pie y recibe el doble abrazo,
y al rodear tu cuerpo con mis piernas,
introduce tu furia de un zarpazo
anegando mis cámaras internas.

El ímpetu, el gemido y los sudores
me dirán que soy tuya y eres mío;
seremos mutuamente posesores,
como el cauce y las aguas en el río.

El

Hay en tu rostro un gesto de embeleso
al ajustar tu mano mi corbata;
y me encuentro vestido con exceso
al ver tu desnudez bajo la bata.

De repente me asaltan intenciones
que sacuden la fibra del sentido,
y que encajan en las incitaciones
que el brillo de tus ojos me ha tendido.

Sin vacilar, toma hoy la iniciativa
y traduce en acciones la sonrisa,
que tu mano sensual y decisiva
me arranque la corbata y la camisa.

Deslízame los dedos sobre el pecho,
y extiéndete a la espalda suavemente;
mi instinto levantado está al acecho,
todo mi voluntad te lo consiente.

Hoy serás tú quien todo lo decida,
seré el juguete, y tú serás quien juegue,
tendrás autoridad indefinida
y no encontrarás nada que te niegue.

Ya el cinturón se siente relajado,
y tu contacto excita mi impaciencia,
siento el impulso desencadenado,
pero a él, no a ti, he de hacerle resistencia.

Es tu oportunidad, es tu momento,
será tu desnudez junto a la mía,
tus caricias tendrán el ritmo lento
de inevitable, espléndida agonía.

Y aunque te exija que me lo aceleres,
no escuches mi clamor ni mi quejido,
habré de recibir lo que me dieres,
cuando, como y en donde hayas querido.

Siento tus manos descendiendo lentas
y tú también te inclinas y desciendes,
y a mi virilidad la boca enfrentas,
y una violencia emocional enciendes.

Ese beso profundo y penetrante,
me acerca a ti de singular manera;
y aunque no puedo verlo en tu semblante,
percibo toda tu pasión entera.

Tus manos en mi piel clavan crispadas
las uñas, que de sangre se revisten;
flota tu pelo en nuevas oleadas,
los labios y la lengua no desisten.

Qué catarata de placer provocas
volcándose en caída resonante,
tal la furia del mar contra las rocas
Qué maravilla poder ser tu amante.

Y al fin las aguas, blancas de la espuma,
tras la caída, avanzan en el río;
siento en la mente el sueño de la bruma,
y en el cuerpo el postrer escalofrío.

Levántate y abrázame, cariño,
yace conmigo en silenciosa calma,
manténme en tu regazo como a un niño,
y toma posesión de cuerpo y alma.",ELLA
Eugenio Florit,"

Desde la nieve convertida en agua,
desde el sucio periódico sin dueño,
desde la niebla, desde el tren hundido
con sus cientos de manos que buscan asidero;
desde la fantasía de los anuncios luminosos
y el ruido sin piedad de las bombas de incendio;
desde la noche que nos cae encima
losa de cielo sin estrellas;
desde cada momento perdido entre las calles
donde todos los solos del mundo pasan desconocidos;
desde el árbol sin hojas y el camino sin gente,
otra vez, como ayer, como mañana,
acaso ya como todos los días que vendrán, si es que vienen,
entro al silencio.",DESDE LA NIEVE
Infantiles,"
Kikirikí,
estoy aquí,
decía el gallo
Colibrí.
El gallo Colibrí
era pelirrojo,
y era su traje
de hernoso plumaje.
Kikirikí.
levántate campesino,
que ya está el sol
de camino.
-Kikiriki.
levántate labrador,
despierta con alegria,
que viene el dia.
-Kikiriki.
Niños del pueblo
despertad con el ole,
que os esperan en el ""cole'.
El pueblo no necesita reloj,
le vale el gallo despertador.",El gallo despertador
Gabriel Celaya,"

Amigo Blas de Otero: Porque sé que tú existes,
y porque el mundo existe, y yo también existo,
porque tú y yo y el mundo nos estamos muriendo,
gastando nuestras vueltas como quien no hace nada,
quiero hablarte y hablarme, dejar hablar al mundo
de este dolor que insiste en todo lo que existe.

Vamos a ver, amigo, si esto puede aguantarse:
El semillero hirviente de un corazón podrido,
los mordiscos chiquitos de las larvas hambrientas,
los días cualesquiera que nos comen por dentro,
la carga de miseria, la experiencia un residuo,
las penas amasadas con lento polvo y llanto.

Nos estamos muriendo por los cuatro costados,
y también por el quinto de un Dios que no entendemos.
Los metales furiosos, los mohos del cansancio,
los ácidos borrachos de amarguras antiguas,
las corrupciones vivas, las penas materiales...
todo esto tú sabes, todo esto y lo otro.

Tú sabes. No perdonas. Estás ardiendo vivo.
La llama que nos duele quería ser un ala.
Tú sabes y tu verso pone el grito en el cielo.
Tú, tan serio, tan hombre, tan de Dios aun si pecas,
sabes también por dentro de una angustia rampante,
de poemas prosaicos, de un amor sublevado.

Nuestra pena es tan vieja que quizá no sea humana:
ese mugido triste del mar abandonado,
ese temblor insomne de un follaje indistinto,
las montañas convulsas, el éter luminoso,
un ave que se ha vuelto invisible en el viento,
viven, dicen y sufren en nuestra propia carne.

Con los cuatro elementos de la sangre, los huesos,
el alma transparente y el yo opaco en su centro,
soy el agua sin forma que cambiando se irisa,
la inercia de la tierra sin memoria que pesa,
el aire estupefacto que en sí mismo se pierde,
el corazón que insiste tartamudo afirmando.

Soy creciente. Me muero. Soy materia. Palpito.
Soy un dolor antiguo como el mundo que aún dura.
He asumido en mi cuerpo la pasión, el misterio,
la esperanza, el pecado, el recuerdo, el cansancio,
Soy la instancia que elevan hacia un Dios excelente
la materia y el fuego, los latidos arcaicos.

Debo salvarlo todo si he de salvarme entero.
Soy coral, soy muchacha, soy sombra y aire nuevo,
soy el tordo en la zarza, soy la luz en el trino,
soy fuego sin sustancia, soy espacio en el canto,
soy estrella, soy tigre, soy niño y soy diamante
que proclaman y exigen que me haga Dios con ellos.

¡Si fuera yo quien sufre! ¡Si fuera Blas de Otero!
¡Si sólo fuera un hombre pequeñito que muere
sabiendo lo que sabe, pesando lo que pesa!
Mas es el mundo entero quien se exalta en nosotros
y es una vieja historia lo que aquí desemboca.
Ser hombre no es ser hombre. Ser hombre es otra cosa.

Invoco a los amantes, los mártires, los locos
que salen de sí mismos buscándose más altos.
Invoco a los valientes, los héroes, los obreros,
los hombres trabajados que duramente aguantan
y día a día ganan su pan, mas piden vino.
Invoco a los dolidos. Invoco a los ardientes.

Invoco a los que asaltan, hiriéndose, gloriosos,
la justicia exclusiva y el orden calculado,
las rutinas mortales, el bienestar virtuoso,
la condición finita del hombre que en sí acaba,
la consecuencia estricta, los daños absolutos.
Invoco a los que sufren rompiéndose y amando.

Tú también, Blas de Otero, chocas con las fronteras,
con la crueldad del tiempo, con límites absurdos,
con tu ciudad, tus días y un caer gota a gota,
con ese mal tremendo que no te explica nadie.
Irónicos zumbidos de aviones que pasan
y muertos boca arriba que no, no perdonamos.

A veces me parece que no comprendo nada,
ni este asfalto que piso, ni ese anuncio que miro.
Lo real me resulta increíble y remoto.
Hablo aquí y estoy lejos. Soy yo, pero soy otro.
Sonámbulo transcurro sin memoria ni afecto,
desprendido y sin peso, por lúcido ya loco.

Detrás de cada cosa hay otra cosa que es la misma,
idéntica y distinta, real y a un tiempo extraña.
Detrás de cada hombre un espejo repite
los gestos consabidos, mas lejos ya, muy lejos.
Detrás de Blas de Otero, Blas de Otero me mira,
quizá me da la vuelta y viene por mi espalda.

Hace aún pocos días caminábamos juntos
en el frío, en el miedo, en la noche de enero
rasa con sus estrellas declaradas lucientes,
y era raro sentirnos diferentes, andando.
Si tu codo rozaba por azar mi costado,
un temblor me decía: «Ese es otro, un misterio.»

Hablábamos distantes, inútiles, correctos,
distantes y vacíos porque Dios se ocultaba,
distintos en un tiempo y un lugar personales,
en las pisadas huecas, en un mirar furtivo,
en esto con que afirmo: «Yo, tú, él, hoy, mañana»,
en esto que separa y es dolor sin remedio.

Tuvimos aún que andar, cruzar calles vacías,
desfilar ante casas quizá nunca habitadas,
saber que una escalera por sí misma no acaba,
traspasar una puerta lo que es siempre asombroso,
saludar a otro amigo también raro y humano,
esperar que dijeras era un milagro: Dios al fin escuchaba.

Todo el dolor del mundo le atraía a nosotros.
Las iras eran santas; el amor, atrevido;
los árboles, los rayos, la materia, las olas,
salían en el hombre de un penar sin conciencia,
de un seguir por milenios, sin historia, perdidos.
Como quien dice «sí», dije Dios sin pensarlo.

Y vi que era posible vivir, seguir cantando.
Y vi que el mismo abismo de miseria medía
como una boca hambrienta, qué grande es la esperanza.
Con los cuatro elementos, más y menos que hombre,
sentí que era posible salvar el mundo entero,
salvarme en él, salvarlo, ser divino hasta en cuerpo.

Por eso, amigo mío, te recuerdo, llorando;
te recuerdo, riendo; te recuerdo, borracho;
pensando que soy bueno, mordiéndome las uñas,
con este yo enconado que no quiero que exista,
con eso que en ti canta, con eso en que me extingo
y digo derramado: amigo Blas de Otero.",A BLAS DE OTERO
Santiago Montobbio,"En la soledad hiriente y absoluta a la que no he conseguido
nunca darle nombres y entre
sus sábanas que tantas veces
recuerdo son del miedo hay
todavía una arrolladora, inexplicable, casi
vergonzosa ternura que creo
que me asalta los ojos y quizá
en ellos me devora. Pero me es difícil su sonido,
por profundo. Nació acaso en mi luz primera
y sé que estará también en mi noche última:
luz y noche, esos polos simples del rincón
estúpido que es mi vida, luz, noche y torsos
sin cuerpo y con ternura
que es quizá recuerdo
de la que por ella tuve y de la que por mí
quizá ella tuvo, este quedo alambre sobre el tono
de una roñosa canción de radio o a través
de los silencios que en los versos se respiran
luz y noche y la enfermedad extraña
que en mis ojos nacen telares sin sonido
y por la que jamás me bastó el mundo
y por la que siempre estuve
como suspenso en vida.",Hiriente y absoluta
Blanca Andreu,"

Respóndeme, político, ¿por qué
quieres desfigurar la faz del mundo?
¿Por qué quieres cortar
las cabezas azules de mis templos?
¿Por qué quieres
salpicar con mi sangre
a tu pueblo inocente?
¿No sabes que si envías
la muerte a visitarme
volverá sobre ti, boomerang en retorno?
¿Por qué quieres
matar mi casa
romper mi niño
quemar mi perro?",DESDE IRAK
Pedro Calderón de la Barca,"

     Sale en lo alto de un  monte Rosaura en hábito de hombre, de camino, y en representando los primeros versos va bajando.



ROSAURA


Hipogrifo violento,
que corriste parejas con el viento,
¿dónde, rayo sin llama,
pájaro sin matiz, pez sin escama,
y bruto sin instinto
natural, al confuso laberinto
de esas desnudas peñas
te desbocas, te arrastras y despeñas?

Quédate en este monte,
donde tengan los brutos su Faetonte;
que yo, sin más camino
que el que dan las leyes del destino,
ciega y desesperada,
bajaré la cabeza enmarañada
de este monte eminente
que arruga al sol el ceño de la frente.

Mal, Polonia, recibes
a un extranjero, pues con sangre escribes
su entrada en tus arenas,
y a penas llega, cuando llega apenas.

Bien mi suerte lo dice;
mas ¿donde halló piedad un infelice?



     Sale Clarín, gracioso.



CLARÍN


Di dos, y no me dejes
en la posada a mí cuando te quejes;
que si dos hemos sido
los que de nuestra patria hemos salido
a probar aventuras;
dos los que, entre desdichas y locuras,
aquí habemos llegado,
y dos los que del monte hemos rodado,
¿no es razón que yo sienta
meterme en el pesar, y no en la cuenta?



ROSAURA


No quise darte parte
en mis quejas, Clarín, por no quitarte,
llorando tu desvelo,
el derecho que tienes al consuelo;
que tanto gusto había
en quejarse, un filósofo decía,
que, a trueco de quejarse,
habían las desdichas de buscarse.



CLARÍN


El filósofo era
un borracho barbón; ¡oh, quién le diera
más de mil bofetadas!
Quejárase después de muy bien dadas.
Mas, ¿qué haremos, señora,
a pie, solos, perdidos y a esta hora,
en un desierto monte
cuando se parte el sol a otro horizonte?



ROSAURA


¿Quién ha visto sucesos tan extraños?
Mas si la vista no padece engaños
que hace la fantasía,
a la medrosa luz que aún tiene el día
me parece que veo
un edificio.



CLARÍN


                   O miente mi deseo,
o termino las señas.



ROSAURA


Rústico nace entre desnudas peñas
un palacio tan breve,
que el sol apenas a mirar se atreve.
Con tan rudo artificio
la arquitectura está de su edificio,
que parece, a las plantas
de tantas rocas y de peñas tantas
que al sol tocan la lumbre,
peñasco que ha rodado de la cumbre.



CLARÍN


Vámonos acercando,
que éste es mucho mirar, señora, cuando
es mejor que la gente
que habita en ella, generosamente
nos admita.



ROSAURA


                         La puerta
(mejor diré funesta boca) abierta
está, y desde su centro
nace la noche, pues la engendra dentro.



     Suena ruido de cadenas. 



CLARÍN


¡Qué es lo que escucho, cielo!



ROSAURA


Inmóvil bulto soy de fuego y hielo.



CLARÍN


Cadenita hay que suena,
mátenme, si no es galeote en pena;
bien mi temor lo dice.",LA VIDA ES SUEÑO - JORNADA I - ESCENA I
